fy,Equity,Debt-General Limit,Debt-VRR,Debt-FAR,Hybrid,MF_Equity,MF_Debt,MF_Hybrid,MF_Solution Oriented,MF_Other,AIF,total,cumulative
1992-93,13,0,0,0,0,0,0,0,0,0,0,13,13
1993-94,5127,0,0,0,0,0,0,0,0,0,0,5127,5140
1994-95,4796,0,0,0,0,0,0,0,0,0,0,4796,9936
1995-96,6942,0,0,0,0,0,0,0,0,0,0,6942,16878
1996-97,8546,29,0,0,0,0,0,0,0,0,0,8575,25453
1997-98,5267,691,0,0,0,0,0,0,0,0,0,5958,31411
1998-99,29973,-147,0,0,0,0,0,0,0,0,0,29826,61237
1999-00,9669,452,0,0,0,0,0,0,0,0,0,10121,71358
2000-01,10207,-273,0,0,0,0,0,0,0,0,0,9934,81292
2001-02,8072,690,0,0,0,0,0,0,0,0,0,8762,90054
2002-03,2528,162,0,0,0,0,0,0,0,0,0,2690,92744
2003-04,39959,5805,0,0,0,0,0,0,0,0,0,45764,138508
2004-05,44121,1759,0,0,0,0,0,0,0,0,0,45880,184388
2005-06,48800,-7334,0,0,0,0,0,0,0,0,0,41466,225854
2006-07,25236,5605,0,0,0,0,0,0,0,0,0,30841,256695
2007-08,53404,12775,0,0,0,0,0,0,0,0,0,66179,322874
2008-09,-47706,1895,0,0,0,0,0,0,0,0,0,-45811,277063
2009-10,30877,20047,0,0,0,0,0,0,0,0,0,50924,327987
2010-11,110121,36317,0,0,0,0,0,0,0,0,0,146438,474425
2011-12,43738,49988,0,0,0,0,0,0,0,0,0,93726,568151
2012-13,140031,28334,0,0,0,0,0,0,0,0,0,168365,736516
2013-14,79709,-28059,0,0,0,0,0,0,0,0,0,51650,788166
2014-15,111333,166127,0,0,0,0,0,0,0,0,0,277460,1065626
2015-16,-14172,-4004,0,0,0,0,0,0,0,0,0,-18176,1047450
2016-17,55703,-7292,0,0,0,0,0,0,0,0,0,48411,1095861
2017-18,25635,119036,0,0,11,0,0,0,0,0,0,144682,1240543
2018-19,-88,-42357,0,0,3515,0,0,0,0,0,0,-38930,1201613
2019-20,6153,-48710,7331,0,7698,0,0,0,0,0,0,-27528,1174085
2020-21,274032,-50443,33265,0,10247,0,0,0,0,0,0,267101,1441186
2021-22,-140010,1628,12642,0,3498,0,0,0,0,0,0,-122242,1318944
2022-23,-37632,-8937,5814,0,-181,0,0,0,0,0,0,-40936,1278008
2023-24,208212,121059,-2972,0,12767,0,0,0,0,0,0,339066,1617074
2024-25,-28215,50199,8199,18449,6094,-20,779,-15,0,231,0,55701,1672775
Total,1120381,425042,64279,18449,43649,-20,779,-15,0,231,0,1672775,
