month,equity,debt-general limit,debt-vrr,debt-far,hybrid,mf_equity,mf_debt,mf_hybrid,mf_solution oriented,mf_other,aif,total
January,-25744,19837,-710,0,24,0,0,0,0,0,0,-6593
February,1539,22419,862,0,6997,0,0,0,0,0,0,31817
March,35098,13602,2478,0,818,0,0,0,0,0,0,51996
April,-8671,-10949,3267,0,94,0,0,0,0,0,0,-16259
May,-25586,8761,4283,0,-369,0,0,0,0,0,0,-12911
June,26565,14955,-973,0,1211,0,0,0,0,0,0,41758
July,32365,22363,-6189,0,257,0,0,0,0,0,0,48796
August,7320,17960,-885,0,1098,0,0,0,0,0,0,25493
September,57724,1299,8592,22959,2455,-14,891,-8,0,-359,0,93539
October,-94017,-4406,100,674,1250,55,10,-19,0,-5,0,-96358
November ,-23547,421,2718,-317,62,-48,-97,-6,0,-4,0,-20818
Total - 2024,-16954,106262,13543,23316,13897,-7,804,-33,0,-368,0,140460
